Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
500	3.49437370429889	0.00421500992998077	2.78033422473018	0.00317224716063365	0.647101104259491	3.49015869436891	1.79710458239272	1.94210104885604	0.0019039335815692	99.5625626482147
498	3.57122743201914		2.83907332361656		0.652579486370087	3.56701242208916	1.85065086786998	1.92743671106081	0.00197958996014299	99.5452198377965
496	3.73549787569869		2.96687132603559		0.658019542694092	3.73128286576871	1.9501719125642	1.91330971476386	0.00205250682455249	99.5285078686356
494	3.99968591663523		3.17241620802678		0.6634840965271	3.99547090670525	2.10274296604924	1.9001233014286	0.00210274098860291	99.5169962274431
492	4.2163378933086		3.33857031136676		0.669135093688965	4.21212288337861	2.23183189618256	1.88729397163973	0.00216649537940836	99.502388213619
490	4.27661636474742		3.38064354117911		0.675155639648438	4.27240135481744	2.28031879190728	1.87359827493416	0.0021888621717646	99.4972638290359
488	4.26229767583979		3.36524943723672		0.681718409061432	4.25808266590981	2.2919899131604	1.85781038627626	0.00230439393090215	99.4707989174107
486	4.38193087848676		3.45553056236426		0.688922226428986	4.37771586855678	2.3784063769407	1.84060886776958	0.00235559103151992	99.4590734257193
484	4.70104391187962		3.69913852281663		0.696800053119659	4.69682890194964	2.57534949720557	1.82376368995588	0.00230956836983947	99.4696137710866
482	5.04615471616469		3.9586888269553		0.705317854881287	5.0419397062347	2.78989646900814	1.80721390999402	0.00236799112528327	99.456233683837
480	5.20225843624405		4.07046242025867		0.714412152767181	5.19804342631407	2.90572152849177	1.78889937502447	0.00242012213085566	99.4442960642675
478	5.18377481571244		4.04975208098596		0.724068522453308	5.17955980578246	2.93000108126726	1.76776719943811	0.00253307125052738	99.4184364558877
476	5.36561661430224		4.18247212684235		0.734353184700012	5.36140160437226	3.06908217646065	1.74690715207736	0.00261081156358738	99.4006417820117
474	5.85126429302575		4.53895028459763		0.745478987693787	5.84704928309577	3.38132721975224	1.72921722835337	0.00272592019782595	99.3742993889829
472	6.49058387543209		4.99314683795853		0.757483243942261	6.48636886550211	3.77982214022704	1.71605134444567	0.00277183123507805	99.3637946826004
470	7.10372219817743		5.41114125767502		0.769963383674622	7.09950718824745	4.16393811814315	1.70499824608666	0.00297311808357769	99.3177522121339
468	7.55741579988018		5.70362305826413		0.781956672668457	7.5532007899502	4.4575055489607	1.69449049630713	0.00315666785347042	99.2757855292368
466	7.54901434971844		5.6916819840931		0.79232394695282	7.54479933978846	4.50714248704588	1.67396512568067	0.00330279535163732	99.2423877255189
464	7.12121322838097		5.40279051552089		0.800474584102631	7.11699821845099	4.32225718767864	1.64659295118746	0.00345041829578521	99.2086595424478
462	6.6068681132487		5.04749925961634		0.806607007980347	6.60265310331871	4.06878951879134	1.62275612263179	0.00357677828981074	99.1797985215928
460	6.16076633280467		4.73285698060016		0.811446130275726	6.15655132287469	3.83788437437368	1.60415237206811	0.00358421271384525	99.1781007372608
458	5.68468829759761		4.39460842482282		0.815723776817322	5.68047328766763	3.58219890449483	1.58575038380475	0.00372487565440248	99.1459833033962
456	5.22771247666969		4.07084843099932		0.819841384887695	5.2234974667397	3.334849275833	1.56633689702061	0.00387361791275319	99.1120324406309
454	4.88049057864305		3.83017003596493		0.823944866657257	4.87627556871307	3.15323518279397	1.54643573537461	0.00405397751382841	99.0708804204243
452	4.67851998618837		3.69885709947791		0.828078091144562	4.67430497625839	3.06031565797876	1.52739308576607	0.00412952029447031	99.0536491655221
450	4.48713049232422		3.56955459999458		0.832277178764343	4.48291548239424	2.96821864301157	1.51030500834192	0.00422357954608062	99.0321985055551
448	4.15753533494981		3.32429743544723		0.836676299571991	4.15332032501983	2.77870673295096	1.49469545517998	0.00427593299055826	99.0202610657932
446	3.83049865168627		3.07382259269808		0.841527163982391	3.82628364175629	2.58403567686168	1.48073947895461	0.00444524349060434	98.981665359256
444	3.65885476809478		2.93922318649763		0.847182273864746	3.6546397581648	2.48737031097024	1.4692785155658	0.00456466428997259	98.9544514639259
442	3.64483742928361		2.92378200003589		0.853903293609619	3.64062241935362	2.49391828732856	1.45980020189571	0.00471988545230973	98.9190904794682
440	3.66554809814616		2.93296259570233		0.861756920814514	3.66133308821618	2.52476710939138	1.45016666075739	0.00503899838236346	98.846432944738
438	3.69579440173624		2.94742809613282		0.870642840862274	3.69157939180626	2.56339527657451	1.44011320670738	0.00527666031758501	98.7923553341739
436	3.70132521958523		2.94174183638991		0.880387842655182	3.69711020965525	2.58708094115369	1.42906630822558	0.00556400088897125	98.7270133501605
434	3.70747263411145		2.93777428025342		0.89086776971817	3.70325762418147	2.61434236823178	1.41651593501359	0.00587266360557442	98.656870801878
432	3.7338026559789		2.95180064982628		0.901960015296936	3.72958764604892	2.65954491917329	1.40234053546584	0.00620911897418335	98.5804692340578
430	3.75258969447805		2.96347659216244		0.913509368896484	3.74837468454807	2.70426575394412	1.3860970132396	0.00649141406197808	98.5164119161229
428	3.72226135719689		2.94076140670633		0.925312757492065	3.71804634726691	2.71818872559803	1.36783966185016	0.00666847268266827	98.4762556961111
426	3.64004398936135		2.88225110176434		0.937117755413055	3.63582897943137	2.69803591388342	1.34758361099728	0.00661931168524038	98.4874035811756
