,0
285,7403.9206
286,7661.3733
287,8223.1084
288,8241.6352
289,8949.8601
290,10278.668
291,12461.444
292,17900.22
293,27290.709
294,42307.243
295,69804.843
296,105189.69
297,149531.91
298,195830.91
299,249110.33
300,296166.64
301,330979.85
302,346277.14
303,348339.37
304,321797.21
305,284242.19
306,233415.47
307,181550.82
308,134042.3
309,95037.612
310,63127.562
311,41958.956
312,28794.46
313,20811.848
314,17520.146
315,15538.095
316,13993.787
317,13794.01
318,13072.166
319,12856.737
320,13002.466
321,12961.659
322,12763.029
323,12481.111
324,12581.128
325,11957.175
326,12334.377
327,12408.298
328,12204.825
329,12174.28
330,12690.338
331,12710.578
332,13082.913
333,12858.471
334,13285.569
335,13512.957
336,13846.825
337,13432.227
338,13466.88
339,12888.22
340,13123.062
341,13005.805
342,12895.731
343,12457.98
344,12732.692
345,12813.801
346,12153.319
347,12169.031
348,11882.227
349,11628.186
350,11518.045
351,11458.964
352,11226.975
353,11387.876
354,11198.197
355,10860.212
356,10842.28
357,10847.341
358,10394.975
359,10272.166
360,10344.828
361,10558.25
362,10239.504
363,9930.6194
364,9961.3735
365,9446.5735
366,10112.144
367,9995.0933
368,9332.7031
369,9561.5015
370,9019.3354
371,9234.7922
372,9181.0037
373,8648.5002
374,8903.2253
375,8329.9624
376,8548.2678
377,8436.5015
378,8668.0644
379,8163.0691
380,7980.2825
381,8133.9336
382,7895.6838
383,7770.2239
384,7656.3909
385,7519.1579
386,7687.6392
387,7312.8337
388,7492.9592
389,7301.4209
390,7248.8852
391,7062.8005
392,7039.6672
393,7379.2126
394,6705.2832
395,6871.0613
396,6437.6355
397,6525.5762
398,6562.8999
399,6356.2226
400,6317.488
401,6017.927
402,5942.6335
403,5984.5984
404,5781.8948
405,5905.8967
406,5215.3923
407,5568.1272
408,5436.0517
409,5338.7246
410,5096.3989
411,5009.8242
412,5069.4126
413,5134.8059
414,4897.53
415,4885.0268
416,4899.0681
417,4749.2825
418,4669.1431
419,4827.553
420,4425.508
421,4557.1933
422,4461.8494
423,4450.7175
424,4270.8384
425,4348.4084
426,4049.2497
427,4043.687
428,3977.5417
429,4185.0212
430,3803.6638
431,4194.2475
432,3807.4675
433,3857.3435
434,3795.9839
435,3705.6262
436,3754.9082
437,3471.697
438,3650.4866
439,3474.8689
440,3576.7563
441,3494.365
442,3424.0701
443,3325.6069
444,3125.6655
445,3240.3606
446,3138.7793
447,3156.9582
448,3158.3537
449,3258.3132
450,3131.7068
