,0
285,5682.1067
286,5260.2515
287,5622.7463
288,5621.7771
289,5741.6614
290,6114.2734
291,6547.2861
292,8325.4631
293,12674.391
294,20587.144
295,34902.456
296,54349.802
297,82943.595
298,116095.47
299,158229.41
300,206984.25
301,246287.61
302,278991.01
303,294851.32
304,292805.23
305,274715.54
306,241187.25
307,201197.62
308,157915.37
309,111066.73
310,79908.493
311,53315.513
312,34498.035
313,21678.306
314,14544.979
315,11504.946
316,9988.885
317,8889.5674
318,8655.8711
319,8165.0757
320,8066.7412
321,7818.4607
322,7863.0964
323,6912.2917
324,7919.758
325,7865.6016
326,7983.5832
327,7646.0156
328,7948.6995
329,7380.449
330,7721.7558
331,8144.3755
332,8280.4626
333,8391.6389
334,8386.5351
335,8664.7685
336,8823.0168
337,9288.4873
338,9087.8076
339,9284.1755
340,8570.4763
341,8229.5874
342,9056.3408
343,8549.4897
344,8486.5732
345,8405.0691
346,8460.6055
347,8056.6726
348,7881.5659
349,7867.3867
350,7939.2148
351,7460.9551
352,7662.251
353,7205.05
354,7477.0566
355,7266.5564
356,7148.4614
357,6865.4531
358,7178.2861
359,6815.0017
360,7158.5864
361,6836.9499
362,6643.3591
363,6416.5378
364,6520.9805
365,6597.5701
366,6579.6169
367,6819.5683
368,6481.0039
369,6305.2527
370,6029.8664
371,6225.0146
372,5988.3721
373,6041.7695
374,5220.2449
375,5606.4722
376,5336.8767
377,5479.7307
378,5331.3965
379,5217.7956
380,5063.3462
381,5017.6816
382,5146.7551
383,4642.1748
384,4889.4433
385,4855.9216
386,4753.3345
387,4385.04
388,4743.5647
389,4352.9128
390,4513.2312
391,4469.8989
392,3985.5098
393,4486.0329
394,4100.2939
395,4094.8135
396,3934.4929
397,4294.0596
398,4052.2287
399,3583.5259
400,3711.7475
401,3763.0308
402,3806.2309
403,3526.2981
404,3331.1272
405,3430.9807
406,3539.4243
407,3284.2871
408,3402.6218
409,3386.0373
410,3170.0561
411,2977.0981
412,2981.4929
413,3073.1899
414,3105.8159
415,3106.8525
416,3157.7876
417,3085.8147
418,3032.9477
419,3019.0869
420,2853.6487
421,2880.9661
422,2655.4531
423,3006.1211
424,2969.7134
425,2803.3581
426,2860.8657
427,2673.6413
428,2778.2424
429,2820.0749
430,2698.6921
431,2747.772
432,2769.761
433,2595.0613
434,2731.0696
435,2696.0642
436,2484.7429
437,2667.946
438,2601.385
439,2690.1265
440,2797.8227
441,2756.103
442,2905.7519
443,2188.8044
444,2497.604
445,2654.5647
446,2261.374
447,2219.457
448,2555.0015
449,2349.2959
450,2395.7312
