,0
285,5077.9963
286,4918.0925
287,4711.6401
288,4853.7305
289,5240.8293
290,5618.0183
291,6684.4626
292,8368.9341
293,14148.698
294,23270.601
295,39492.077
296,64499.269
297,101862.83
298,144888.11
299,192382.59
300,244259.66
301,289786.13
302,323406.43
303,339748.04
304,336136.75
305,311194.33
306,273665.18
307,226993.93
308,178144.29
309,125684.42
310,86541.974
311,56349.757
312,34270.791
313,20602.537
314,13011.845
315,8998.2092
316,7134.2422
317,6003.2864
318,5227.3723
319,4865.5757
320,4594.5945
321,4094.5915
322,4061.1179
323,3995.9128
324,4037.4487
325,3904.2546
326,3892.686
327,3881.9365
328,3857.8162
329,3937.8125
330,4027.7524
331,3942.9009
332,4089.8975
333,4242.6011
334,4561.8904
335,4547.2778
336,4783.8154
337,4922.9421
338,4913.0625
339,4845.831
340,4782.9582
341,4603.3193
342,4562.0437
343,4368.9143
344,4225.5063
345,4230.7974
346,4036.6435
347,3675.8533
348,3784.1191
349,3512.1025
350,3659.3818
351,3336.6225
352,3386.1855
353,3154.7815
354,3175.4712
355,3395.0278
356,3094.6999
357,3140.176
358,2908.2693
359,3064.2395
360,2957.5669
361,2862.3586
362,2793.6831
363,2966.5037
364,2642.8989
365,2973.9099
366,2838.0937
367,2941.6059
368,2714.9155
369,2695.113
370,2683.5129
371,2674.9873
372,2639.061
373,2440.0029
374,2506.0188
375,2545.5871
376,2526.8916
377,2407.0901
378,2366.7991
379,2360.9692
380,2189.2217
381,2281.258
382,2144.5273
383,2100.7331
384,2104.6872
385,2137.438
386,2043.8757
387,2004.8845
388,2084.7024
389,2002.6265
390,2011.9768
391,1856.0386
392,1819.8396
393,1834.5613
394,1786.8865
395,1680.8254
396,1875.707
397,1661.6865
398,1801.4075
399,1609.3796
400,1587.3596
401,1596.0935
402,1504.0889
403,1380.9436
404,1478.999
405,1304.1894
406,1334.3054
407,1429.04
408,1326.2891
409,1420.2993
410,1270.7544
411,1412.5015
412,1328.8674
413,1239.293
414,1319.3381
415,1156.6389
416,1230.478
417,1200.8176
418,1271.4026
419,1280.9751
420,1186.706
421,1117.3183
422,1273.7463
423,1170.7637
424,1096.9387
425,1152.6536
426,1034.081
427,1141.7107
428,1154.5747
429,1017.0974
430,1106.7021
431,1068.0957
432,1037.2312
433,1059.376
434,1128.3806
435,935.6001
436,981.06909
437,974.97095
438,909.28931
439,978.85815
440,1008.116
441,953.83716
442,917.19751
443,1047.9587
444,1041.7424
445,941.95508
446,920.77002
447,916.66357
448,979.5354
449,988.80322
450,1037.8354
