,0
285,4918.2786
286,5039.6587
287,4858.011
288,4835.2715
289,5165.7612
290,5468.5454
291,6417.6531
292,9085.4683
293,13723.874
294,23217.29
295,42554.865
296,68323.306
297,103297.03
298,145472.55
299,193460.85
300,242989.22
301,287550.06
302,321830.77
303,339968.56
304,335306
305,311309.81
306,270472.34
307,223544.37
308,170037.83
309,119788.08
310,82091.341
311,53078.016
312,33581.615
313,19671.702
314,12257.75
315,9022.9499
316,7234.2815
317,6265.8796
318,5681.3503
319,5223.4346
320,5088.0408
321,5016.0483
322,4843.8376
323,4635.7121
324,4179.2829
325,4329.8122
326,4573.1594
327,4332.5483
328,4421.3994
329,4096.7368
330,4417.4304
331,4402.3039
332,4753.8835
333,4742.1213
334,4963.2903
335,5413.5957
336,5244.2583
337,5127.9175
338,5635.9084
339,5525.4402
340,5300.4853
341,4926.9187
342,5015.3225
343,4788.6269
344,4673.3162
345,4181.3149
346,4195.9087
347,4141.7241
348,3864.2297
349,3863.7043
350,3910.7395
351,3665.6069
352,3594.1985
353,3530.8623
354,3433.4763
355,3494.6738
356,3364.9536
357,3285.9812
358,3083.7004
359,3190.9726
360,3280.7078
361,3070.9455
362,3292.2732
363,3239.1841
364,2879.3367
365,2813.6428
366,2807.0176
367,2932.7263
368,2934.3686
369,2966.75
370,2961.9392
371,2703.3081
372,2730.0569
373,2686.3667
374,2857.2495
375,2593.821
376,2363.4394
377,2469.5041
378,2541.676
379,2326.2749
380,2350.9624
381,2239.1953
382,2194.4392
383,2323.2397
384,1945.1186
385,2159.0781
386,2100.4329
387,2056.6318
388,2104.949
389,1991.0515
390,1947.616
391,1883.7019
392,1983.8901
393,2005.9656
394,1871.1794
395,1857.9316
396,1815.3352
397,1792.7693
398,1825.9736
399,1813.0268
400,1555.738
401,1620.0679
402,1591.8581
403,1721.6963
404,1556.5652
405,1453.3259
406,1549.175
407,1519.7229
408,1452.5681
409,1368.5349
410,1475.1899
411,1368.4329
412,1503.6475
413,1347.2161
414,1297.446
415,1331.0962
416,1320.6355
417,1338.2041
418,1385.1138
419,1192.3835
420,1225.2346
421,1308.0908
422,1149.3398
423,1317.7976
424,1112.2683
425,1164.8245
426,1110.6985
427,1190.2549
428,1160.8437
429,1212.6623
430,1167.0259
431,1029.2041
432,1088.6931
433,1066.0029
434,1147.9307
435,984.32519
436,1142.5806
437,988.22314
438,1212.6623
439,1044.8039
440,1098.2873
441,1183.1238
442,982.5083
443,1036.1731
444,1060.4255
445,998.40405
446,1107.7244
447,938.00976
448,1017.9441
449,1090.1406
450,1075.709
