Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
500	3.49236984688502	0.00288505754462422	2.77162053580015	0.00296058306083245	0.647101104259491	3.4894847893404	1.79160291273664	1.947688723061	0.0010331824078361	99.7623837144373
498	3.57083823524335		2.83122133146044		0.652579486370087	3.56795317769873	1.84566494651129	1.93315324346542	0.00105377556474143	99.7576533441479
496	3.72718022924755		2.95183153605663		0.658019542694092	3.72429517170292	1.94041471595418	1.91932948203371	0.00102224356173326	99.7648965234905
494	3.9955570372572		3.15969809772603		0.6634840965271	3.99267197971257	2.09444513789084	1.9063149029214	0.00102907842156617	99.7633264512313
492	4.21789109154458		3.32907395398283		0.669135093688965	4.21500603399995	2.22561918207201	1.89385770393831	9.87429869911535E-4	99.7728941465745
490	4.28775829341384		3.37833568718443		0.675155639648438	4.28487323586921	2.27890353747798	1.88023458009601	9.78976432227294E-4	99.7748362208742
488	4.26356742925269		3.35471578737647		0.681718409061432	4.26068237170806	2.28495322544943	1.864669405156	0.00103058351085237	99.7629807124299
486	4.36855746545426		3.43303212739556		0.688922226428986	4.36567240790964	2.36305252513379	1.84747159086634	0.00102229927765726	99.7648837245873
484	4.69440996415222		3.68085570550687		0.696800053119659	4.6915249066076	2.56275751668894	1.83065501751762	0.00107930027415586	99.7517904782933
482	5.04953951839725		3.94626570444634		0.705317854881287	5.04665446085263	2.78128350935802	1.81450558487563	0.00105851546692863	99.7565645922556
480	5.20650973017238		4.05744366542788		0.714412152767181	5.20362467262775	2.89657198723196	1.79647690289254	0.0010626971639655	99.7556040695236
478	5.16887846079149		4.02142796977101		0.724068522453308	5.16599340324687	2.90964574322204	1.77547160690642	0.00116670049351249	99.7317178051998
476	5.35418084774637		4.15519932665836		0.734353184700012	5.35129579020175	3.04920974499562	1.75497792468502	0.00110620643013097	99.745610675862
474	5.8298495177207		4.50103733553037		0.745478987693787	5.82696446017607	3.35322170399994	1.73772120502062	0.00106508481146064	99.7550556385087
472	6.48085282078348		4.9588933249118		0.757483243942261	6.47796776323885	3.75403601005694	1.72560085888484	0.00115840325288223	99.7336232081011
470	7.10562026457609		5.37843514940727		0.769963383674622	7.10273520703147	4.13891858596097	1.71608478386688	0.00131751982679568	99.6970895509691
468	7.57201690333746		5.67295028983201		0.781956672668457	7.56913184579284	4.43368628517119	1.70718705811649	0.00163925940821102	99.6232580323358
466	7.57236749415638		5.66622333185108		0.79232394695282	7.56948243661175	4.48713869375236	1.68692856477806	0.00173207929832296	99.6019682574113
464	7.12942170979349		5.37125337209222		0.800474584102631	7.12653665224886	4.29718193764105	1.65842097348128	0.00182936814103093	99.5796583379136
462	6.62564024207994		5.02735872747026		0.806607007980347	6.62275518453531	4.05271475416409	1.63415280528454	0.00145639353967199	99.6652146546598
460	6.15633576641612		4.70042373121803		0.811446130275726	6.1534507088715	3.81173829368499	1.61434239046948	0.00158081309802324	99.6366659937483
458	5.68918935226712		4.37094111046427		0.815723776817322	5.6863042947225	3.56306557287805	1.59590223037333	0.00146138496351254	99.6640691911772
456	5.2279311827235		4.04615950043391		0.819841384887695	5.22504612517888	3.31478179979557	1.57628659765814	0.00152913329895554	99.6485231770082
454	4.89386419431227		3.81550561707821		0.823944866657257	4.89097913676765	3.14132690967824	1.55697871549085	0.0014845591112598	99.6587512137669
452	4.68721144855598		3.68102178216636		0.828078091144562	4.68432639101136	3.04572189686819	1.53800200728376	0.00153091651362844	99.6481140206609
450	4.50676169341765		3.56019450481713		0.832277178764343	4.50387663587303	2.96060461260416	1.5212692085592	0.00144536012561623	99.6677467189495
448	4.18092804237587		3.31934139542797		0.836676299571991	4.17804298483124	2.77473722606289	1.505743659467	0.00141184385502521	99.6754387809268
446	3.85089514330399		3.06725288569308		0.841527163982391	3.84801008575936	2.57868521104719	1.4922372336392	0.00143687336382186	99.6696943943747
444	3.67638347896224		2.93103122608115		0.847182273864746	3.67349842141762	2.48060954539056	1.48088538490214	0.00144387444491516	99.6680876735489
442	3.66231424317861		2.91478472956403		0.853903293609619	3.65942918563399	2.4864162291111	1.47176854091812	0.00143167706552317	99.6708869413294
440	3.6877346556747		2.92604877737059		0.861756920814514	3.68484959813007	2.51899148159763	1.46282733588008	0.0014332114143284	99.6705348078289
