Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
500	3.48969154611447	0.00292023699547242	2.76896705680685	0.0029634873443444	0.647101104259491	3.486771309119	1.78988396418488	1.9480432133526	9.54145564198695E-4	99.7805410288352
498	3.56950055702604		2.82973595793121		0.652579486370087	3.56658032003057	1.84469372694068	1.93342681657271	9.9232007216288E-4	99.7717706994552
496	3.73954569550673		2.96088443885248		0.658019542694092	3.73662545851126	1.94636979183666	1.91979215572661	9.17565121359006E-4	99.7889458560981
494	3.99605827504816		3.15952413044157		0.6634840965271	3.99313803805269	2.09432778641836	1.9066442530859	9.54052724431067E-4	99.7805623590699
492	4.22314904318372		3.3328528455693		0.669135093688965	4.22022880618825	2.22814582768974	1.89405412955579	9.423883981969E-4	99.7832423117507
490	4.28546065426286		3.37593404168621		0.675155639648438	4.28254041726739	2.27728009213203	1.88055058842498	9.0599131466114E-4	99.7916052344866
488	4.263576547905		3.35438526491685		0.681718409061432	4.26065631090952	2.28472592230057	1.8648435111286	9.90034911117517E-4	99.7722956777203
486	4.37666915731638		3.4393266537376		0.688922226428986	4.37374892032091	2.3673869634102	1.84750063589966	0.00101547156858386	99.766452178677
484	4.6942724763598		3.68035830316511		0.696800053119659	4.69135223936433	2.56240890300587	1.83083669193511	0.00103620297756601	99.7616898576165
482	5.04567866147909		3.94325963512242		0.705317854881287	5.04275842448362	2.77916122654783	1.8144893417168	0.00106240321788671	99.7556715877164
480	5.20899754022103		4.05936659266629		0.714412152767181	5.20607730322556	2.89794367496453	1.79647290877359	0.00106366273482503	99.7553822822311
478	5.18917747682366		4.0366190585775		0.724068522453308	5.18625723982819	2.92064302954834	1.77572445086869	0.0011048572519713	99.7459205458099
476	5.35909485163299		4.15936757371202		0.734353184700012	5.35617461463752	3.05226857772425	1.75481759820463	0.00114588333172287	99.7364983887676
474	5.83777054796248		4.50653869537167		0.745478987693787	5.83485031096701	3.35732068708304	1.7379484579522	0.00100829305396044	99.7681012460371
472	6.48686100435322		4.96326281219903		0.757483243942261	6.48394076735775	3.75734362351553	1.72567148950063	0.00114062749739231	99.7377054077513
470	7.10943984463896		5.38164435837882		0.769963383674622	7.10651960764348	4.14138732316767	1.71597560264125	0.00134515151067971	99.6907465948801
468	7.5832735097378		5.68083928394111		0.781956672668457	7.58035327274232	4.43985286573157	1.70734335167958	0.00159950141873274	99.6323785759166
466	7.58274581442741		5.67299977225369		0.79232394695282	7.57982557743193	4.49250552862507	1.68721563705047	0.00165817972755045	99.6189179753555
464	7.14784161206363		5.38443557418798		0.800474584102631	7.14492137506816	4.30773163057608	1.65862732124579	0.00177533474288214	99.5920484609384
462	6.62094470498932		5.02492430365186		0.806607007980347	6.61802446799385	4.05074878823635	1.63377805289063	0.00155599962348076	99.6423589109001
460	6.15591988262872		4.70105952955534		0.811446130275726	6.15299964563325	3.81225185311581	1.61400659838471	0.00167115813228986	99.6159410199188
458	5.68729513352469		4.37039240929459		0.815723776817322	5.68437489652922	3.56261561519446	1.59556222464347	0.00155392092305993	99.6428358386939
456	5.23030483994058		4.04874320647827		0.819841384887695	5.2273846029451	3.31689764788531	1.57598610444848	0.00161193231765059	99.6295268189784
454	4.88879413085597		3.81257990664068		0.823944866657257	4.8858738938605	3.13891389261242	1.55654919536328	0.00160438345701181	99.6312585839011
452	4.69337929032821		3.68662870597208		0.828078091144562	4.69045905333274	3.05036246265687	1.53767268996857	0.00162391769704721	99.6267773454047
450	4.51162492582009		3.56512802774664		0.832277178764343	4.50870468882462	2.96470825398041	1.52079203165143	0.00158160675792936	99.6364839109496
448	4.17656970010813		3.31679082659051		0.836676299571991	4.17364946311265	2.77260079562098	1.50531929071956	0.00153425976566788	99.647346920244
446	3.84172968923905		3.06135843259163		0.841527163982391	3.83880945224358	2.57372242461203	1.49153980846332	0.00163989651646833	99.6231118855243
444	3.66478431396953		2.92291143119172		0.847182273864746	3.66186407697405	2.47372813863531	1.48030174366461	0.00161507076662475	99.628806844239
442	3.65554379642832		2.91060744198307		0.853903293609619	3.65262355943285	2.4828467495101	1.47114338013555	0.00161619083252869	99.6285498971896
440	3.67881762201892		2.92042702690477		0.861756920814514	3.67589738502345	2.5141443964402	1.46208681976587	0.00165311671883798	99.6200793403064
