Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
500	3.50413818912315	0.00292545880102407	2.77737003284749	0.00296995533710115	0.647101104259491	3.50121273032213	1.79531735381459	1.95019154852091	4.75462129093085E-4	99.8905807055403
498	3.58564650910996		2.83946265222829		0.652579486370087	3.58272105030894	1.85103694722975	1.93552109031147	5.22150072948095E-4	99.8798427492758
496	3.74285157439977		2.96044413611987		0.658019542694092	3.73992611559875	1.94607580796826	1.92177822687355	4.68509276627039E-4	99.8921799200338
494	4.00976673202464		3.16704976517713		0.6634840965271	4.00684127322361	2.09931663397135	1.90864074927265	4.99529743498143E-4	99.8850451496793
492	4.23370931657903		3.33729342172343		0.669135093688965	4.230783857778	2.23111284506973	1.89626619161245	4.35472690549574E-4	99.8997789622955
490	4.29703915275175		3.38139470572689		0.675155639648438	4.29411369395073	2.28096252335353	1.88258844675686	4.35622982971791E-4	99.899744390875
488	4.27546182861922		3.36009574585106		0.681718409061432	4.2725363698182	2.28861445292828	1.8668659390626	5.19296559431915E-4	99.8804990077121
486	4.38647636919126		3.44275225430985		0.688922226428986	4.38355091039023	2.36974247983932	1.84980053642262	4.75167066286763E-4	99.890648571945
484	4.71123120187797		3.68874977285814		0.696800053119659	4.70830574307695	2.56825157263603	1.83327279665379	4.58716417272408E-4	99.8944324034027
482	5.06452512136472		3.95247045539811		0.705317854881287	5.06159966256369	2.7856532205556	1.81702432492805	4.56083374293311E-4	99.8950380457541
480	5.22294105579031		4.06480815758595		0.714412152767181	5.22001559698929	2.90182657426058	1.79887235277643	4.83987978177324E-4	99.8886197235523
478	5.19517828246375		4.03599743016201		0.724068522453308	5.19225282366272	2.92018824471007	1.77805414875856	5.35449195364498E-4	99.8767842395016
476	5.369211038116		4.1611650981189		0.734353184700012	5.36628557931498	3.05358384570593	1.75737292652411	5.13932885638827E-4	99.8817325709866
474	5.85101140240176		4.51072527250338		0.745478987693787	5.84808594360074	3.3604368706124	1.74027549654132	4.27180289265335E-4	99.9016864628481
472	6.50782579430851		4.9717382565011		0.757483243942261	6.50490033550749	3.76375873116318	1.72829896923206	4.79880578785178E-4	99.8895644382867
470	7.11914595299861		5.38097263963151		0.769963383674622	7.11622049419759	4.14086514421052	1.71853471348784	6.97951285533047E-4	99.8394198455499
468	7.58983582904751		5.67769515797711		0.781956672668457	7.58691037024649	4.43738923776422	1.70976895731355	9.82941455944483E-4	99.7739253002833
466	7.58909450580829		5.66988506035207		0.79232394695282	7.58616904700726	4.49003254305201	1.68955769791608	0.00105574410489056	99.7572011705447
464	7.1646025250826		5.38813482222008		0.800474584102631	7.16167706628157	4.31068760714225	1.66137695861227	0.0010559666289487	99.7571500569053
462	6.63282077916062		5.02570936712529		0.806607007980347	6.6298953203596	4.05137680880744	1.63645487280932	8.45023735350931E-4	99.805615266686
460	6.1711631198725		4.70411410473844		0.811446130275726	6.16823766107148	3.81472522790009	1.61695464091576	8.78626830221994E-4	99.7978932072218
458	5.70107288249307		4.37292672813212		0.815723776817322	5.69814742369205	3.56467764323278	1.59850286449028	7.54247789342181E-4	99.8264787508855
456	5.24826521828678		4.05452274991221		0.819841384887695	5.24533975948576	3.32163065405007	1.57914599959815	7.42031825079847E-4	99.8292867392407
454	4.9014748339303		3.81467184755029		0.823944866657257	4.89854937512927	3.14063220731681	1.55973353508793	7.16824931758156E-4	99.8350811007034
452	4.70832526683099		3.69080435536946		0.828078091144562	4.70539980802997	3.05381487043605	1.54082680439568	7.33993906055631E-4	99.8311343960314
450	4.52670621482233		3.56920597694909		0.832277178764343	4.52378075602131	2.96809685487501	1.52413515367301	6.27955034038238E-4	99.8555124938087
448	4.19029042270955		3.32078258682846		0.836676299571991	4.18736496390853	2.7759351951894	1.50845198805977	6.31395193358378E-4	99.8547215155077
446	3.86109840254056		3.06982129632735		0.841527163982391	3.85817294373954	2.58083871133912	1.49492989499435	6.53918654862053E-4	99.8495429655841
444	3.68548263419932		2.93245502002077		0.847182273864746	3.6825571753983	2.48180781835152	1.4838204425693	5.83971412688108E-4	99.8656259758913
442	3.67309056393634		2.91813089410144		0.853903293609619	3.67016510513531	2.48926552701298	1.47439679106446	6.5681570522019E-4	99.8488769009634
440	3.69638295886279		2.92750290822415		0.861756920814514	3.69345750006177	2.52023651230052	1.4655201930593	6.34471967190804E-4	99.8540140938878
438	3.72837477269981		2.94167412398784		0.870642840862274	3.72544931389878	2.55856174584788	1.45607168556497	6.03301525358584E-4	99.8611811327664
436	3.74310985320733		2.94173907027664		0.880387842655182	3.74018439440631	2.5872566011633	1.44561787675974	6.85125174469404E-4	99.8423684678567
434	3.74542561247542		2.93280106982407		0.89086776971817	3.7425001536744	2.61009211061391	1.43385750198453	7.25425524091301E-4	99.8331040266976
432	3.77367684283129		2.94610285199749		0.901960015296936	3.77075138403026	2.65458819249272	1.42046566570819	7.70603624500275E-4	99.8227192863882
430	3.78982431346989		2.95374667765054		0.913509368896484	3.78689885466887	2.69556218135498	1.40486421751373	7.87055493954132E-4	99.8189378907938
428	3.75779310754319		2.92959403858689		0.925312757492065	3.75486764874217	2.70804260061455	1.38656151416896	8.02285565931979E-4	99.815437448085
